community	mainIncomeCommunity	populationSize	locality	sessionID	female	socialFirst	sequencePosition	asocialYes	socialYes	yes	propYes	lagOnePropYes	socialTmt	agricultureComm	eastGezira	numInSession	numFemalesInSession	propFemalesInSession	uniqueSubjectID
52	agriculture	6451	EastGezira	14	0	0	7	0	0	0	0.142857142857143	0.166666666666667	0	1	1	10	0	0	115
52	agriculture	6451	EastGezira	14	0	0	8	0	0	0	0.125	0.142857142857143	0	1	1	10	0	0	116
52	agriculture	6451	EastGezira	14	0	0	9	1	0	1	0.222222222222222	0.125	0	1	1	10	0	0	117
52	agriculture	6451	EastGezira	14	0	0	10	0	0	0	0.2	0.222222222222222	0	1	1	10	0	0	118
52	agriculture	6451	EastGezira	15	1	1	1	0	0	0	0	NA	0	1	1	10	10	1	119
52	agriculture	6451	EastGezira	15	1	1	2	0	0	0	0	0	0	1	1	10	10	1	120
52	agriculture	6451	EastGezira	15	1	1	3	0	0	0	0	0	0	1	1	10	10	1	121
52	agriculture	6451	EastGezira	15	1	1	4	0	0	0	0	0	0	1	1	10	10	1	122
52	agriculture	6451	EastGezira	15	1	1	5	0	1	0	0	0	0	1	1	10	10	1	123
52	agriculture	6451	EastGezira	15	1	1	6	0	0	0	0	0	0	1	1	10	10	1	124
52	agriculture	6451	EastGezira	15	1	1	7	0	0	0	0	0	0	1	1	10	10	1	125
52	agriculture	6451	EastGezira	15	1	1	8	0	0	0	0	0	0	1	1	10	10	1	126
52	agriculture	6451	EastGezira	15	1	1	9	0	0	0	0	0	0	1	1	10	10	1	127
52	agriculture	6451	EastGezira	15	1	1	10	0	0	0	0	0	0	1	1	10	10	1	128
52	agriculture	6451	EastGezira	16	1	1	1	0	0	0	0	NA	0	1	1	8	8	1	129
52	agriculture	6451	EastGezira	16	1	1	2	0	1	0	0	0	0	1	1	8	8	1	130
52	agriculture	6451	EastGezira	16	1	1	3	0	0	0	0	0	0	1	1	8	8	1	131
52	agriculture	6451	EastGezira	16	1	1	4	0	0	0	0	0	0	1	1	8	8	1	132
52	agriculture	6451	EastGezira	16	1	1	5	0	0	0	0	0	0	1	1	8	8	1	133
52	agriculture	6451	EastGezira	16	1	1	6	0	0	0	0	0	0	1	1	8	8	1	134
52	agriculture	6451	EastGezira	16	1	1	7	1	0	1	0.142857142857143	0	0	1	1	8	8	1	135
52	agriculture	6451	EastGezira	16	1	1	8	0	0	0	0.125	0.142857142857143	0	1	1	8	8	1	136
52	agriculture	6451	EastGezira	17	0	0	1	0	0	0	0	NA	0	1	1	5	0	0	137
52	agriculture	6451	EastGezira	17	0	0	2	0	0	0	0	0	0	1	1	5	0	0	138
52	agriculture	6451	EastGezira	17	0	0	3	0	0	0	0	0	0	1	1	5	0	0	139
52	agriculture	6451	EastGezira	17	0	0	4	0	0	0	0	0	0	1	1	5	0	0	140
52	agriculture	6451	EastGezira	17	0	0	5	0	0	0	0	0	0	1	1	5	0	0	141
52	agriculture	6451	EastGezira	18	0	0	1	0	0	0	0	NA	0	1	1	2	0	0	142
52	agriculture	6451	EastGezira	18	0	0	2	0	0	0	0	0	0	1	1	2	0	0	143
52	agriculture	6451	EastGezira	19	0	0	1	1	1	1	1	NA	0	1	1	5	0	0	144
52	agriculture	6451	EastGezira	19	0	0	2	0	0	0	0.5	1	0	1	1	5	0	0	145
52	agriculture	6451	EastGezira	19	0	0	3	1	1	1	0.666666666666667	0.5	0	1	1	5	0	0	146
52	agriculture	6451	EastGezira	19	0	0	4	1	0	1	0.75	0.666666666666667	0	1	1	5	0	0	147
52	agriculture	6451	EastGezira	19	0	0	5	0	0	0	0.6	0.75	0	1	1	5	0	0	148
52	agriculture	6451	EastGezira	20	1	0	1	0	0	0	0	NA	0	1	1	6	6	1	149
52	agriculture	6451	EastGezira	20	1	0	2	0	1	0	0	0	0	1	1	6	6	1	150
52	agriculture	6451	EastGezira	20	1	0	3	0	0	0	0	0	0	1	1	6	6	1	151
52	agriculture	6451	EastGezira	20	1	0	4	0	0	0	0	0	0	1	1	6	6	1	152
52	agriculture	6451	EastGezira	20	1	0	5	1	0	1	0.2	0	0	1	1	6	6	1	153
52	agriculture	6451	EastGezira	20	1	0	6	0	0	0	0.166666666666667	0.2	0	1	1	6	6	1	154
52	agriculture	6451	EastGezira	21	0	0	1	0	0	0	0	NA	0	1	1	6	0	0	155
52	agriculture	6451	EastGezira	21	0	0	2	0	0	0	0	0	0	1	1	6	0	0	156
52	agriculture	6451	EastGezira	21	0	0	3	0	0	0	0	0	0	1	1	6	0	0	157
52	agriculture	6451	EastGezira	21	0	0	4	0	0	0	0	0	0	1	1	6	0	0	158
52	agriculture	6451	EastGezira	21	0	0	5	1	1	1	0.2	0	0	1	1	6	0	0	159
52	agriculture	6451	EastGezira	21	0	0	6	0	0	0	0.166666666666667	0.2	0	1	1	6	0	0	160
52	agriculture	6451	EastGezira	22	1	0	1	1	1	1	1	NA	0	1	1	4	4	1	161
52	agriculture	6451	EastGezira	22	1	0	2	0	0	0	0.5	1	0	1	1	4	4	1	162
52	agriculture	6451	EastGezira	22	1	0	3	1	0	1	0.666666666666667	0.5	0	1	1	4	4	1	163
52	agriculture	6451	EastGezira	22	1	0	4	0	1	0	0.5	0.666666666666667	0	1	1	4	4	1	164
91	labour	4887	EastGezira	23	1	1	1	0	0	0	0	NA	0	0	1	7	7	1	165
91	labour	4887	EastGezira	23	1	1	2	1	0	1	0.5	0	0	0	1	7	7	1	166
91	labour	4887	EastGezira	23	1	1	3	1	1	1	0.666666666666667	0.5	0	0	1	7	7	1	167
91	labour	4887	EastGezira	23	1	1	4	1	0	1	0.75	0.666666666666667	0	0	1	7	7	1	168
91	labour	4887	EastGezira	23	1	1	5	0	0	0	0.6	0.75	0	0	1	7	7	1	169
91	labour	4887	EastGezira	23	1	1	6	1	1	1	0.666666666666667	0.6	0	0	1	7	7	1	170
91	labour	4887	EastGezira	23	1	1	7	1	1	1	0.714285714285714	0.666666666666667	0	0	1	7	7	1	171
91	labour	4887	EastGezira	24	1	0	1	1	0	1	1	NA	0	0	1	10	10	1	172
91	labour	4887	EastGezira	24	1	0	2	0	1	0	0.5	1	0	0	1	10	10	1	173
91	labour	4887	EastGezira	24	1	0	3	0	0	0	0.333333333333333	0.5	0	0	1	10	10	1	174
